contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,option_type,expiration
SPXW260130C05350000,2026-01-30 19:00:34+00:00,5350.0,1568.11,1586.1,1587.6,7.6899414,0.49281228,3.0,5.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-01-30
SPXW260130C05375000,2025-12-26 21:01:43+00:00,5375.0,1573.19,1559.0,1560.1,0.0,0.0,1.0,1.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-01-30
SPXW260130C05400000,2026-01-30 14:49:54+00:00,5400.0,1549.65,1537.6,1539.1,59.660034,4.004056,3.0,3.0,1.46875265625,True,REGULAR,USD,call,2026-01-30
SPXW260130C05430000,2026-01-23 20:36:56+00:00,5430.0,1485.49,1508.2,1509.8,0.0,0.0,1.0,1.0,1.783204208984375,True,REGULAR,USD,call,2026-01-30
SPXW260130C05450000,2026-01-29 16:45:16+00:00,5450.0,1459.38,1487.8,1489.5,0.0,0.0,2.0,1.0,1.6723649194335937,True,REGULAR,USD,call,2026-01-30
SPXW260130C05470000,2025-11-21 18:03:29+00:00,5470.0,1211.41,1462.4,1480.6,0.0,0.0,2.0,0.0,1.990844772338867,True,REGULAR,USD,call,2026-01-30
SPXW260130C05475000,2025-11-07 18:22:55+00:00,5475.0,1264.46,1453.8,1472.6,0.0,0.0,2.0,1.0,2.3867227832031244,True,REGULAR,USD,call,2026-01-30
SPXW260130C05480000,2026-01-28 16:08:53+00:00,5480.0,1506.34,1457.6,1459.0,0.0,0.0,22.0,22.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-01-30
SPXW260130C05500000,2026-01-30 16:18:02+00:00,5500.0,1435.98,1437.6,1439.1,-50.880005,-3.4219768,1.0,5.0,1.3671906640625,True,REGULAR,USD,call,2026-01-30
SPXW260130C05540000,2026-01-30 16:32:15+00:00,5540.0,1394.47,1396.1,1397.6,18.27002,1.3275701,4.0,4.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-01-30
SPXW260130C05550000,2026-01-29 17:11:59+00:00,5550.0,1371.51,1387.6,1389.0,0.0,0.0,2.0,2.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-01-30
SPXW260130C05575000,2026-01-26 17:22:46+00:00,5575.0,1387.34,1363.2,1364.8,0.0,0.0,1.0,4.0,1.6088886743164061,True,REGULAR,USD,call,2026-01-30
SPXW260130C05580000,2026-01-30 16:34:31+00:00,5580.0,1355.18,1358.2,1359.8,18.730103,1.4014817,50.0,50.0,1.6030293286132813,True,REGULAR,USD,call,2026-01-30
SPXW260130C05600000,2026-01-29 20:30:15+00:00,5600.0,1317.64,1336.1,1337.6,-23.47998,-1.750774,20.0,25.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-01-30
SPXW260130C05625000,2025-10-01 13:59:44+00:00,5625.0,1147.82,1177.0,1205.0,0.0,0.0,,3.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-01-30
SPXW260130C05650000,2026-01-23 17:33:20+00:00,5650.0,1276.16,1288.2,1289.8,0.0,0.0,1.0,1.0,1.5200219311523435,True,REGULAR,USD,call,2026-01-30
SPXW260130C05680000,2026-01-29 14:59:15+00:00,5680.0,1261.88,1257.8,1259.5,0.0,0.0,1.0,0.0,1.4091826416015625,True,REGULAR,USD,call,2026-01-30
SPXW260130C05700000,2026-01-30 16:41:47+00:00,5700.0,1239.77,1237.6,1239.1,20.130005,1.6504874,14.0,14.0,1.171879140625,True,REGULAR,USD,call,2026-01-30
SPXW260130C05710000,2025-11-19 17:11:21+00:00,5710.0,1004.6,1220.0,1235.7,0.0,0.0,1.0,2.0,1.938293765563965,True,REGULAR,USD,call,2026-01-30
SPXW260130C05720000,2025-11-11 14:48:02+00:00,5720.0,1171.74,1210.0,1228.7,0.0,0.0,,0.0,1.3134799951171874,True,REGULAR,USD,call,2026-01-30
SPXW260130C05730000,2025-11-25 20:30:11+00:00,5730.0,1092.26,1200.3,1218.1,0.0,0.0,2.0,1.0,1.228519482421875,True,REGULAR,USD,call,2026-01-30
SPXW260130C05740000,2025-12-01 15:27:43+00:00,5740.0,1125.6,1193.7,1208.8,0.0,0.0,,1.0,1.6076679772949216,True,REGULAR,USD,call,2026-01-30
SPXW260130C05750000,2026-01-30 14:30:09+00:00,5750.0,1196.2,1186.1,1187.6,40.339966,3.490039,1.0,2.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-01-30
SPXW260130C05790000,2026-01-27 05:06:08+00:00,5790.0,1181.36,1147.5,1149.0,0.0,0.0,1.0,1.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-01-30
SPXW260130C05800000,2026-01-30 20:40:45+00:00,5800.0,1128.04,1138.4,1140.1,-40.339966,-3.452641,2.0,1000.0,1.1845743896484375,True,REGULAR,USD,call,2026-01-30
SPXW260130C05810000,2025-11-19 17:07:02+00:00,5810.0,916.1,1120.6,1139.3,0.0,0.0,1.0,2.0,1.3596223425292968,True,REGULAR,USD,call,2026-01-30
SPXW260130C05820000,2026-01-27 20:39:20+00:00,5820.0,1166.07,1117.5,1119.0,0.0,0.0,2.0,2.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-01-30
SPXW260130C05825000,2025-12-15 16:20:28+00:00,5825.0,1052.8,1108.4,1109.8,0.0,0.0,,2.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-01-30
SPXW260130C05830000,2025-12-18 16:40:27+00:00,5830.0,1019.15,1104.6,1105.7,0.0,0.0,,5.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-01-30
