
expiry: 2026-02-06  forward: 6940.52  df: 0.9987
 strike  c_price  c_iv  p_price  p_iv c_iv_minus_p_iv
 6400.0  548.450 25.14     5.60 25.24           -0.11
 6410.0      NaN   NaN     5.95 25.14             NaN
 6420.0  529.350 25.05     6.15 24.91            0.14
 6425.0      NaN   NaN     6.20 24.75             NaN
 6430.0      NaN   NaN     6.40 24.71             NaN
 6440.0  509.600 24.40     6.65 24.49           -0.09
 6450.0  500.450 24.60     6.85 24.24            0.37
 6460.0      NaN   NaN     7.20 24.08             NaN
 6470.0      NaN   NaN     7.50 23.87             NaN
 6475.0      NaN   NaN     7.60 23.73             NaN
 6480.0      NaN   NaN     7.80 23.66             NaN
 6490.0      NaN   NaN     8.10 23.44             NaN
 6500.0  451.600 23.20     8.45 23.24           -0.04
 6510.0      NaN   NaN     8.80 23.02             NaN
 6520.0  432.200 22.68     9.20 22.83           -0.15
 6525.0  427.550 22.66     9.40 22.73           -0.07
 6530.0  422.950 22.66     9.65 22.65            0.01
 6540.0      NaN   NaN    10.10 22.46             NaN
 6550.0  403.550 22.09    10.50 22.24           -0.15
 6560.0  394.350 22.05    11.00 22.05           -0.00
 6570.0  384.950 21.88    11.50 21.85            0.04
 6575.0  380.150 21.75    11.80 21.76           -0.02
 6580.0  375.550 21.70    12.10 21.68            0.02
 6590.0  366.050 21.47    12.70 21.50           -0.03
 6600.0  356.850 21.35    13.30 21.30            0.05
 6610.0  347.400 21.11    13.90 21.09            0.01
 6620.0  338.000 20.87    14.65 20.93           -0.06
 6625.0  333.050 20.65    15.00 20.83           -0.18
 6630.0  328.950 20.77    15.30 20.71            0.05
 6640.0  319.450 20.47    16.05 20.52           -0.05
 6645.0      NaN   NaN    16.50 20.45             NaN
 6650.0  310.500 20.36    16.90 20.35            0.01
 6655.0      NaN   NaN    17.35 20.27             NaN
 6660.0  301.250 20.13    17.75 20.16           -0.03
 6665.0      NaN   NaN    18.20 20.07             NaN
 6670.0  292.100 19.92    18.70 19.99           -0.07
 6675.0  287.650 19.85    19.15 19.89           -0.04
 6680.0  283.200 19.78    19.65 19.81           -0.03
 6685.0  278.750 19.70    20.10 19.70            0.00
 6690.0  274.150 19.57    20.65 19.62           -0.05
 6695.0      NaN   NaN    21.15 19.52             NaN
 6700.0  265.300 19.40    21.70 19.43           -0.03
 6705.0  261.050 19.36    22.25 19.33            0.03
 6710.0  256.600 19.26    22.85 19.25            0.01
 6715.0      NaN   NaN    23.45 19.16             NaN
 6720.0  247.850 19.09    24.05 19.07            0.02
 6725.0  243.050 18.87    24.65 18.97           -0.10
 6730.0  239.150 18.91    25.30 18.88            0.03
 6735.0      NaN   NaN    25.95 18.78             NaN
 6740.0  230.250 18.65    26.65 18.70           -0.05
 6745.0      NaN   NaN    27.35 18.61             NaN
 6750.0  221.650 18.46    28.05 18.51           -0.05
 6755.0      NaN   NaN    28.75 18.41             NaN
 6760.0  213.350 18.32    29.45 18.30            0.02
 6765.0  209.100 18.22    30.25 18.22            0.00
 6770.0  204.850 18.12    31.05 18.13           -0.01
 6775.0  200.500 17.98    31.85 18.03           -0.05
 6780.0  196.500 17.92    32.65 17.93           -0.00
 6785.0  192.400 17.84    33.50 17.83            0.00
 6790.0  188.250 17.73    34.35 17.73            0.00
 6795.0  184.150 17.64    35.25 17.64           -0.00
 6800.0  179.900 17.50    36.15 17.54           -0.04
 6805.0  175.850 17.40    37.10 17.44           -0.04
 6810.0  171.850 17.31    38.05 17.34           -0.03
 6815.0  167.750 17.19    39.05 17.24           -0.06
 6820.0  164.050 17.15    40.05 17.14            0.01
 6825.0  160.150 17.06    41.10 17.04            0.02
 6830.0  156.150 16.94    42.05 16.92            0.03
 6835.0  152.250 16.84    43.15 16.82            0.02
 6840.0  148.450 16.75    44.30 16.72            0.03
 6845.0  144.700 16.67    45.50 16.63            0.04
 6850.0  140.700 16.53    46.55 16.50            0.02
 6855.0  136.900 16.42    47.75 16.40            0.02
 6860.0  133.100 16.31    49.00 16.30            0.01
